dataset,host,mode,seed,readout,metric,score,selected_epoch,updates
openpack,patchtst,native,123,linear_min5,operation_macro_f1,0.4775391631945485,120,200000
openpack,patchtst,native,42,linear_min5,operation_macro_f1,0.4730817765131222,120,200000
openpack,patchtst,native,7,linear_min5,operation_macro_f1,0.49134260874064706,120,200000
openpack,patchtst,trd,123,linear_min5,operation_macro_f1,0.5172043062970678,114,200000
openpack,patchtst,trd,42,linear_min5,operation_macro_f1,0.5844092454143694,113,200000
openpack,patchtst,trd,7,linear_min5,operation_macro_f1,0.5000594596307855,120,200000
openpack,patchtst,native,123,temporal_min1,operation_macro_f1,0.3377686424265015,119,200000
openpack,patchtst,native,42,temporal_min1,operation_macro_f1,0.3414912392384651,73,200000
openpack,patchtst,native,7,temporal_min1,operation_macro_f1,0.33440056191539724,105,200000
openpack,patchtst,trd,123,temporal_min1,operation_macro_f1,0.3066952223239875,28,200000
openpack,patchtst,trd,42,temporal_min1,operation_macro_f1,0.40591350843240975,55,200000
openpack,patchtst,trd,7,temporal_min1,operation_macro_f1,0.30155582416932,27,200000
openpack,patchtst,native,123,temporal_min5,operation_macro_f1,0.5084769440769292,74,200000
openpack,patchtst,native,42,temporal_min5,operation_macro_f1,0.4856751056476185,110,200000
openpack,patchtst,native,7,temporal_min5,operation_macro_f1,0.5109571145000882,61,200000
openpack,patchtst,trd,123,temporal_min5,operation_macro_f1,0.4979799839184592,37,200000
openpack,patchtst,trd,42,temporal_min5,operation_macro_f1,0.5675113477163196,28,200000
openpack,patchtst,trd,7,temporal_min5,operation_macro_f1,0.4930799447030301,70,200000
openpack,pmt,native,123,linear_min1,operation_macro_f1,0.1916284460155493,120,200000
openpack,pmt,native,42,linear_min1,operation_macro_f1,0.19934034732691164,120,200000
openpack,pmt,native,7,linear_min1,operation_macro_f1,0.2059990401443935,113,200000
openpack,pmt,trd,123,linear_min1,operation_macro_f1,0.32111397062507907,120,200000
openpack,pmt,trd,42,linear_min1,operation_macro_f1,0.31965930630420625,119,200000
openpack,pmt,trd,7,linear_min1,operation_macro_f1,0.34416550711331356,120,200000
openpack,pmt,native,123,linear_min5,operation_macro_f1,0.2925211189828881,117,200000
openpack,pmt,native,42,linear_min5,operation_macro_f1,0.2956662314682537,120,200000
openpack,pmt,native,7,linear_min5,operation_macro_f1,0.323295808114602,116,200000
openpack,pmt,trd,123,linear_min5,operation_macro_f1,0.49144590275048416,119,200000
openpack,pmt,trd,42,linear_min5,operation_macro_f1,0.4816543152673546,119,200000
openpack,pmt,trd,7,linear_min5,operation_macro_f1,0.4829738914497321,120,200000
openpack,pmt,native,123,temporal_min1,operation_macro_f1,0.16592331885165945,59,200000
openpack,pmt,native,42,temporal_min1,operation_macro_f1,0.18485499679604486,59,200000
openpack,pmt,native,7,temporal_min1,operation_macro_f1,0.19616107844323077,108,200000
openpack,pmt,trd,123,temporal_min1,operation_macro_f1,0.2943219010561039,47,200000
openpack,pmt,trd,42,temporal_min1,operation_macro_f1,0.29997623452115607,120,200000
openpack,pmt,trd,7,temporal_min1,operation_macro_f1,0.2905336318169823,36,200000
openpack,pmt,native,123,temporal_min5,operation_macro_f1,0.2968931679949326,66,200000
openpack,pmt,native,42,temporal_min5,operation_macro_f1,0.300193119770914,51,200000
openpack,pmt,native,7,temporal_min5,operation_macro_f1,0.31109202956639725,71,200000
openpack,pmt,trd,123,temporal_min5,operation_macro_f1,0.46960063427988574,22,200000
openpack,pmt,trd,42,temporal_min5,operation_macro_f1,0.4676273820064274,27,200000
openpack,pmt,trd,7,temporal_min5,operation_macro_f1,0.4778547681452308,31,200000
openpack,ts2vec,native,123,linear_min1,operation_macro_f1,0.30324404852001774,116,200000
openpack,ts2vec,native,42,linear_min1,operation_macro_f1,0.2941093431265556,117,200000
openpack,ts2vec,native,7,linear_min1,operation_macro_f1,0.29405222283623134,120,200000
openpack,ts2vec,trd,123,linear_min1,operation_macro_f1,0.2879790869022024,120,200000
openpack,ts2vec,trd,42,linear_min1,operation_macro_f1,0.2926290999103357,119,200000
openpack,ts2vec,trd,7,linear_min1,operation_macro_f1,0.27244876093786075,120,200000
openpack,ts2vec,native,123,linear_min5,operation_macro_f1,0.34787169029930476,118,200000
openpack,ts2vec,native,42,linear_min5,operation_macro_f1,0.3375242134739371,115,200000
openpack,ts2vec,native,7,linear_min5,operation_macro_f1,0.33678911123965266,113,200000
openpack,ts2vec,trd,123,linear_min5,operation_macro_f1,0.35605011285344945,116,200000
openpack,ts2vec,trd,42,linear_min5,operation_macro_f1,0.3859244705575039,117,200000
openpack,ts2vec,trd,7,linear_min5,operation_macro_f1,0.3477428350427367,118,200000
openpack,ts2vec,native,123,temporal_min1,operation_macro_f1,0.33276662749925146,60,200000
openpack,ts2vec,native,42,temporal_min1,operation_macro_f1,0.3311280576318999,61,200000
openpack,ts2vec,native,7,temporal_min1,operation_macro_f1,0.34106854580729973,59,200000
openpack,ts2vec,trd,123,temporal_min1,operation_macro_f1,0.2707001566999818,34,200000
openpack,ts2vec,trd,42,temporal_min1,operation_macro_f1,0.27767326318227614,47,200000
openpack,ts2vec,trd,7,temporal_min1,operation_macro_f1,0.2606663003368846,32,200000
openpack,ts2vec,native,123,temporal_min5,operation_macro_f1,0.4397832351783084,56,200000
openpack,ts2vec,native,42,temporal_min5,operation_macro_f1,0.41901521389142826,65,200000
openpack,ts2vec,native,7,temporal_min5,operation_macro_f1,0.42357421918544497,56,200000
openpack,ts2vec,trd,123,temporal_min5,operation_macro_f1,0.381319566631846,50,200000
openpack,ts2vec,trd,42,temporal_min5,operation_macro_f1,0.4232585045854707,40,200000
openpack,ts2vec,trd,7,temporal_min5,operation_macro_f1,0.37975646671385077,34,200000
